Arranjo,Tipo de Teste,Tempo (ms),Memória Consumida (bytes),Comparações,Desvio Padrão Comparações
100000,Pior Cenário,297.5451946258545,4580,300000,0.0
100000,100 Números Aleatórios,4466.485977172852,3920,5396218,28416.44184354543
100000,Pior Cenário,330.91211318969727,4580,300000,0.0
100000,100 Números Aleatórios,4205.718517303467,3892,5019454,28412.896292852653
100000,Pior Cenário,288.73372077941895,4580,300000,0.0
100000,100 Números Aleatórios,4198.3349323272705,3864,4821588,29831.40054046407
